name,city,latitude,longitude,point_type,square_size_km,area_km2,center_lat,center_lon,radiance_2240m_carre,class,final_image_filename,predicted_class,correct_prediction
point_1787_north,unknown,3.8203515780124335,10.1298213,north,2.24,5.017600025959296,3.8203515780124335,10.1298213,2.6096148,2,point_1787_north_unknown_class_2_3.820352_10.129821.png,1,False
point_748_south,unknown,5.5145609091565415,-0.2113248,south,2.24,5.017600025957088,5.5145609091565415,-0.2113248,4.2533436,2,point_748_south_unknown_class_2_5.514561_-0.211325.png,2,True
point_4624,unknown,-7.0083097,23.4486587,original,2.24,5.017600025955813,-7.0083097,23.4486587,0.36515155,0,point_4624_unknown_class_0_-7.008310_23.448659.png,3,False
point_6216,unknown,5.8092466,0.9315902,original,2.24,5.017600025956776,5.8092466,0.9315902,2.4159958,2,point_6216_unknown_class_2_5.809247_0.931590.png,1,False
point_3892_north,unknown,14.789804539606203,-17.2790591,north,2.24,5.01760002593586,14.789804539606203,-17.2790591,10.332402,2,point_3892_north_unknown_class_2_14.789805_-17.279059.png,3,False
point_2865_north,unknown,12.659749921828466,-8.0020926,north,2.24,5.017600025943187,12.659749921828466,-8.0020926,20.16826,3,point_2865_north_unknown_class_3_12.659750_-8.002093.png,3,True
point_1763_east,unknown,4.012686450475556,9.227887981068084,east,2.24,5.017600025958689,4.012686450475556,9.227887981068084,1.5668813,1,point_1763_east_unknown_class_1_4.012686_9.227888.png,1,True
point_16328,unknown,-0.426765,31.7123179,original,2.24,5.017600025960065,-0.426765,31.7123179,0.41759285,0,point_16328_unknown_class_0_-0.426765_31.712318.png,1,False
point_22139,unknown,15.8931102,5.8018272,original,2.24,5.0176000259335,15.8931102,5.8018272,0.7232798,1,point_22139_unknown_class_1_15.893110_5.801827.png,1,True
point_8080_west,unknown,0.5500993658453818,32.496063516373006,west,2.24,5.017600025960358,0.5500993658453818,32.496063516373006,0.81086844,1,point_8080_west_unknown_class_1_0.550099_32.496064.png,1,True
point_4766,unknown,13.8087462,8.9837114,original,2.24,5.01760002594253,13.8087462,8.9837114,15.452982,3,point_4766_unknown_class_3_13.808746_8.983711.png,3,True
point_1023_east,unknown,9.388338212049408,-0.7952576650467212,east,2.24,5.017600025950283,9.388338212049408,-0.7952576650467212,14.089738,3,point_1023_east_unknown_class_3_9.388338_-0.795258.png,3,True
point_14803_south,unknown,12.140745435530484,-2.4259883,south,2.24,5.017600025944144,12.140745435530484,-2.4259883,0.35072106,0,point_14803_south_unknown_class_0_12.140745_-2.425988.png,0,True
point_2986_north,unknown,6.560135629419207,3.3131285,north,2.24,5.017600025954809,6.560135629419207,3.3131285,11.329691,2,point_2986_north_unknown_class_2_6.560136_3.313128.png,3,False
point_22359_east,unknown,0.6573241591874843,34.148263377793725,east,2.24,5.017600025960292,0.6573241591874843,34.148263377793725,1.8305266,1,point_22359_east_unknown_class_1_0.657324_34.148263.png,1,True
point_20615_north,unknown,9.405467655527294,2.6336789,north,2.24,5.0176000259523015,9.405467655527294,2.6336789,1.6900059,1,point_20615_north_unknown_class_1_9.405468_2.633679.png,0,False
point_1149,unknown,7.352377,-2.3450168,original,2.24,5.017600025953955,7.352377,-2.3450168,15.738796,3,point_1149_unknown_class_3_7.352377_-2.345017.png,3,True
point_8388,unknown,12.6965653,-1.8517488,original,2.24,5.017600025942492,12.6965653,-1.8517488,0.35693568,0,point_8388_unknown_class_0_12.696565_-1.851749.png,0,True
point_4643_east,unknown,0.0304001981125652,18.28269606517772,east,2.24,5.0176000259604825,0.0304001981125652,18.28269606517772,0.42343143,0,point_4643_east_unknown_class_0_0.030400_18.282696.png,1,False
point_4888_north,unknown,6.840161099365389,-5.2789115,north,2.24,5.01760002595455,6.840161099365389,-5.2789115,15.175127,3,point_4888_north_unknown_class_3_6.840161_-5.278912.png,2,False
point_12175_south,unknown,6.795144979911375,3.8975,south,2.24,5.017600025955893,6.795144979911375,3.8975,2.094842,1,point_12175_south_unknown_class_1_6.795145_3.897500.png,1,True
point_19139_east,unknown,2.417006049851637,31.120974960042872,east,2.24,5.0176000259597,2.417006049851637,31.120974960042872,0.32049346,0,point_19139_east_unknown_class_0_2.417006_31.120975.png,0,True
point_3468_south,unknown,-0.3927181672137682,31.7153151,south,2.24,5.017600025960616,-0.3927181672137682,31.7153151,0.5690462,1,point_3468_south_unknown_class_1_-0.392718_31.715315.png,1,True
